freq,Zre,Zim
1000,136.95,-45.91
1145.05,132.28,-44.89
1311.13,126.83,-42.64
1501.31,120.48,-40.24
1719.07,116.2,-37.87
1968.42,113.93,-35.14
2253.93,110.77,-32.05
2580.86,108.68,-28.97
2955.21,105.57,-26.66
3383.86,102.77,-25.52
3874.68,101.38,-21.83
4436.69,101,-21.76
5080.22,100.21,-20.26
5817.09,100.02,-18.72
6660.85,98.94,-17.91
7626.99,98.94,-17.22
8733.26,97.82,-17.25
10000,97.38,-16.98
11450.48,95.56,-17.72
13111.34,96.04,-17.66
15013.11,95.26,-18.13
17190.72,93.69,-19.93
19684.19,91.21,-20.74
22539.34,90.29,-22.47
25808.62,87.99,-22.41
29552.09,86.33,-24.04
33838.55,83.07,-25.24
38746.75,80,-25.28
44366.87,77.05,-26.37
50802.18,72.75,-24.93
58170.91,69.5,-25.55
66608.46,67.26,-24.81
76269.86,64.87,-23.57
87332.62,61.82,-21.42
100000,58.73,-20.14
114504.76,58.29,-18.11
131113.39,56.55,-16.5
150131.07,54.87,-14.79
171907.22,53.33,-14.1
196841.94,53.03,-11.94
225393.39,52.08,-10.9
258086.15,51.03,-9.03
295520.92,51.63,-8.05
338385.52,51.41,-7.8
387467.51,50.84,-6.27
443668.73,50.78,-5.92
508021.8,50.49,-4.98
581709.13,49.78,-3.95
666084.63,50.37,-3.51
762698.59,49.92,-3.05
873326.16,49.98,-3.08
1000000,49.53,-3
